"RecordNo";"project_id";"plants";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;4;5;4;1
1135;1;"Goździk";5;1;5;5;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;5;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Łubin";4;1;4;3;4;1
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;4;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Arnika";1;5;5;1;5;3
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;5;1;5;1
1135;1;"Babka";1;2;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;5;1;5;1
1135;1;"Fiołek";1;1;4;1;5;1
